"","age","cdi_form","fit","se.fit","residual.scale","scores","se_high","se_low","predict_ages"
"1",2,"WS",0.00345276374358039,2.17074976671331e-05,1,2.34787934563467,2.36264044404832,2.33311824722102,2
"2",2.0327868852459,"WS",0.00348107482899444,2.18526590737241e-05,1,2.36713088371622,2.38199069188635,2.35227107554608,2.0327868852459
"3",2.0655737704918,"WS",0.0035096172348377,2.19987350082852e-05,1,2.38653971968963,2.40149885949527,2.371580579884,2.0655737704918
"4",2.09836065573771,"WS",0.00353839283769131,2.21457306254494e-05,1,2.40610712963009,2.4211662264554,2.39104803280479,2.09836065573771
"5",2.13114754098361,"WS",0.00356740352913851,2.2293651101846e-05,1,2.42583439981419,2.44099408256345,2.41067471706493,2.13114754098361
"6",2.16393442622951,"WS",0.00359665121588091,2.24425016361014e-05,1,2.44572282679902,2.46098372791156,2.43046192568647,2.16393442622951
"7",2.19672131147541,"WS",0.00362613781985558,2.25922874488401e-05,1,2.46577371750179,2.481136472967,2.45041096203658,2.19672131147541
"8",2.22950819672131,"WS",0.00365586527835306,2.27430137826826e-05,1,2.48598838928008,2.5014536386523,2.47052313990786,2.22950819672131
"9",2.26229508196721,"WS",0.00368583554413615,2.28946859022423e-05,1,2.50636817001259,2.52193655642611,2.49079978359906,2.26229508196721
"10",2.29508196721311,"WS",0.0037160505855596,2.30473090941213e-05,1,2.52691439818053,2.54258656836453,2.51124222799653,2.29508196721311
"11",2.32786885245902,"WS",0.00374651238669059,2.32008886669031e-05,1,2.5476284229496,2.5634050272431,2.53185181865611,2.32786885245902
"12",2.36065573770492,"WS",0.00377722294743018,2.33554299511449e-05,1,2.56851160425252,2.5843932966193,2.55262991188575,2.36065573770492
"13",2.39344262295082,"WS",0.00380818428363555,2.35109382993674e-05,1,2.58956531287218,2.60555275091575,2.57357787482861,2.39344262295082
"14",2.42622950819672,"WS",0.00383939842724316,2.36674190860435e-05,1,2.61079093052535,2.62688477550386,2.59469708554684,2.42622950819672
"15",2.45901639344262,"WS",0.00387086742639273,2.38248777075842e-05,1,2.63218984994706,2.64839076678821,2.6159889331059,2.45901639344262
"16",2.49180327868852,"WS",0.00390259334555223,2.39833195823238e-05,1,2.65376347497552,2.6700721322915,2.63745481765953,2.49180327868852
"17",2.52459016393443,"WS",0.0039345782656436,2.41427501505023e-05,1,2.67551322063765,2.69193029073999,2.65909615053531,2.52459016393443
"18",2.55737704918033,"WS",0.00396682428416952,2.43031748742463e-05,1,2.69744051323527,2.71396667214976,2.68091435432079,2.55737704918033
"19",2.59016393442623,"WS",0.00399933351534094,2.44645992375483e-05,1,2.71954679043184,2.73618271791337,2.70291086295031,2.59016393442623
"20",2.62295081967213,"WS",0.00403210809020565,2.46270287462436e-05,1,2.74183350133984,2.75857988088729,2.7250871217924,2.62295081967213
"21",2.65573770491803,"WS",0.00406515015677766,2.47904689279851e-05,1,2.76430210660881,2.78115962547984,2.74744458773778,2.65573770491803
"22",2.68852459016393,"WS",0.00409846188016757,2.49549253322164e-05,1,2.78695407851395,2.80392342773986,2.76998472928804,2.68852459016393
"23",2.72131147540984,"WS",0.0041320454427138,2.51204035301431e-05,1,2.80979090104538,2.82687277544588,2.79270902664488,2.72131147540984
"24",2.75409836065574,"WS",0.00416590304411477,2.52869091147013e-05,1,2.83281406999804,2.85000916819604,2.81561897180005,2.75409836065574
"25",2.78688524590164,"WS",0.00420003690156207,2.54544477005246e-05,1,2.85602509306221,2.87333411749857,2.83871606862585,2.78688524590164
"26",2.81967213114754,"WS",0.00423444924987449,2.56230249239086e-05,1,2.87942548991465,2.89684914686291,2.86200183296639,2.81967213114754
"27",2.85245901639344,"WS",0.00426914234163299,2.57926464427736e-05,1,2.90301679231043,2.92055579189152,2.88547779272935,2.85245901639344
"28",2.88524590163934,"WS",0.00430411844731671,2.59633179366244e-05,1,2.92680054417536,2.94445560037227,2.90914548797846,2.88524590163934
"29",2.91803278688525,"WS",0.00433937985543983,2.61350451065088e-05,1,2.95077830169908,2.96855013237151,2.93300647102666,2.91803278688525
"30",2.95081967213115,"WS",0.00437492887268945,2.6307833674973e-05,1,2.97495163342882,2.99284096032781,2.95706230652984,2.95081967213115
"31",2.98360655737705,"WS",0.00441076782406442,2.6481689386015e-05,1,2.9993221203638,3.01732966914629,2.98131457158131,2.98360655737705
"32",3.01639344262295,"WS",0.00444689905301512,2.66566180050358e-05,1,3.02389135605028,3.04201785629371,3.00576485580686,3.01639344262295
"33",3.04918032786885,"WS",0.00448332492158428,2.6832625318788e-05,1,3.04866094667731,3.06690713189408,3.03041476146053,3.04918032786885
"34",3.08196721311475,"WS",0.00452004781054864,2.7009717135322e-05,1,3.07363251117308,3.0919991188251,3.05526590352106,3.08196721311475
"35",3.11475409836066,"WS",0.00455707011956179,2.71878992839297e-05,1,3.09880768130202,3.11729545281509,3.08031990978895,3.11475409836066
"36",3.14754098360656,"WS",0.00459439426729782,2.7367177615086e-05,1,3.12418810176252,3.14279778254078,3.10557842098426,3.14754098360656
"37",3.18032786885246,"WS",0.00463202269159607,2.75475580003872e-05,1,3.14977543028533,3.16850776972559,3.13104309084507,3.18032786885246
"38",3.21311475409836,"WS",0.00466995784960688,2.77290463324875e-05,1,3.17557133773268,3.19442708923877,3.15671558622659,3.21311475409836
"39",3.24590163934426,"WS",0.00470820221793825,2.79116485250325e-05,1,3.20157750819801,3.22055742919503,3.18259758720099,3.24590163934426
"40",3.27868852459016,"WS",0.00474675829280365,2.80953705125897e-05,1,3.22779563910648,3.24690049105504,3.20869078715792,3.27868852459016
