"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
170651,28,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"299",TRUE,FALSE,"Marchman","College","production",420,TRUE,"All Data",1092,"All Data (n = 1092)"
170652,26,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"300",TRUE,FALSE,"Marchman","Primary","production",658,TRUE,"All Data",1092,"All Data (n = 1092)"
170653,27,"Spanish (Mexican)","WS","Fourth",NA,"Female",NA,"301",TRUE,FALSE,"Marchman","Secondary","production",68,TRUE,"All Data",1092,"All Data (n = 1092)"
170654,28,"Spanish (Mexican)","WS","Fourth",NA,"Female",NA,"302",TRUE,FALSE,"Marchman","College","production",620,TRUE,"All Data",1092,"All Data (n = 1092)"
170655,27,"Spanish (Mexican)","WS","First",NA,"Male",NA,"303",TRUE,FALSE,"Marchman","College","production",622,TRUE,"All Data",1092,"All Data (n = 1092)"
170656,26,"Spanish (Mexican)","WS","First",NA,"Male",NA,"304",TRUE,FALSE,"Marchman","College","production",511,TRUE,"All Data",1092,"All Data (n = 1092)"
170657,27,"Spanish (Mexican)","WS","First",NA,"Female",NA,"305",TRUE,FALSE,"Marchman","College","production",527,TRUE,"All Data",1092,"All Data (n = 1092)"
170658,26,"Spanish (Mexican)","WS","First",NA,"Male",NA,"306",TRUE,FALSE,"Marchman","College","production",13,TRUE,"All Data",1092,"All Data (n = 1092)"
170659,28,"Spanish (Mexican)","WS","Third",NA,"Male",NA,"307",TRUE,FALSE,"Marchman","None","production",113,TRUE,"All Data",1092,"All Data (n = 1092)"
170660,27,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"308",TRUE,FALSE,"Marchman","Some Secondary","production",115,TRUE,"All Data",1092,"All Data (n = 1092)"
170661,28,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"309",TRUE,FALSE,"Marchman","Secondary","production",207,TRUE,"All Data",1092,"All Data (n = 1092)"
170662,24,"Spanish (Mexican)","WS","First",NA,"Female",NA,"310",TRUE,FALSE,"Marchman","Secondary","production",62,TRUE,"All Data",1092,"All Data (n = 1092)"
170663,22,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"312",TRUE,FALSE,"Marchman",NA,"production",89,TRUE,"All Data",1092,"All Data (n = 1092)"
170664,23,"Spanish (Mexican)","WS","First",NA,"Female",NA,"313",TRUE,FALSE,"Marchman","College","production",83,TRUE,"All Data",1092,"All Data (n = 1092)"
