"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
171988,16,"Spanish (Mexican)","WG","First",NA,"Male",NA,"499",TRUE,FALSE,"Marchman","College","production",4,TRUE,"All Data",760,"All Data (n = 760)"
171989,16,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"500",TRUE,FALSE,"Marchman","Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
171990,12,"Spanish (Mexican)","WG","First",NA,"Male",NA,"501",TRUE,FALSE,"Marchman","Secondary","production",13,TRUE,"All Data",760,"All Data (n = 760)"
171991,11,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"502",TRUE,FALSE,"Marchman","Some Secondary","production",7,TRUE,"All Data",760,"All Data (n = 760)"
171992,15,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"503",TRUE,FALSE,"Marchman","Some Secondary","production",5,TRUE,"All Data",760,"All Data (n = 760)"
171993,11,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"504",TRUE,FALSE,"Marchman","Some Secondary","production",6,TRUE,"All Data",760,"All Data (n = 760)"
171994,14,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"505",TRUE,FALSE,"Marchman","Some Secondary","production",12,TRUE,"All Data",760,"All Data (n = 760)"
171995,10,"Spanish (Mexican)","WG","First",NA,"Female",NA,"506",TRUE,FALSE,"Marchman","College","production",3,TRUE,"All Data",760,"All Data (n = 760)"
171996,8,"Spanish (Mexican)","WG","First",NA,"Male",NA,"507",TRUE,FALSE,"Marchman","Some Secondary","production",1,TRUE,"All Data",760,"All Data (n = 760)"
171997,18,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"509",TRUE,FALSE,"Marchman","College","production",40,TRUE,"All Data",760,"All Data (n = 760)"
171998,18,"Spanish (Mexican)","WG","Third",NA,"Female",NA,"511",TRUE,FALSE,"Marchman","Secondary","production",93,TRUE,"All Data",760,"All Data (n = 760)"
171999,15,"Spanish (Mexican)","WG","Third",NA,"Female",NA,"512",TRUE,FALSE,"Marchman","Primary","production",5,TRUE,"All Data",760,"All Data (n = 760)"
