"language","form","measure","age","identity","0.10","0.25","0.50","0.75","0.90"
"Spanish (Mexican)","WG","production",8,"All Data",-0.125962160502463,-0.1217718791301,0.321428571423898,2.00000000002952,5.99999999997177
"Spanish (Mexican)","WG","production",9,"All Data",-0.108280518690978,3.16702932975921e-10,0.999999999996385,3.20000000043337,9.16666666662184
"Spanish (Mexican)","WG","production",10,"All Data",-0.0662942145956978,0.289155906436777,1.99999999999707,5.2000000003764,13.9999999999727
"Spanish (Mexican)","WG","production",11,"All Data",-1.16146140285728e-13,0.74569583928593,3.32142857142594,7.9999999998594,20.5000000000271
"Spanish (Mexican)","WG","production",12,"All Data",0.123131763440532,1.36961979894434,4.96428571428302,11.5999999988836,28.6666666667871
"Spanish (Mexican)","WG","production",13,"All Data",0.347716458483974,2.16092778544302,6.92857142856846,15.9999999974517,38.5000000002543
"Spanish (Mexican)","WG","production",14,"All Data",0.674258491280579,3.1196197987833,9.21428571428246,21.1999999958981,50.0000000004299
"Spanish (Mexican)","WG","production",15,"All Data",1.10275786183052,4.2456958389562,11.8214285714253,27.1999999952824,63.1666666673153
"Spanish (Mexican)","WG","production",16,"All Data",1.63321457013388,5.53915590594747,14.7499999999973,33.9999999957215,78.0000000009119
"Spanish (Mexican)","WG","production",17,"All Data",2.26562861619045,6.99999999973854,17.9999999999983,41.5999999972179,94.5000000012215
"Spanish (Mexican)","WG","production",18,"All Data",3.00000000000012,8.62822812030667,21.5714285714284,49.9999999997728,112.666666668247
